"Status","Name","Duration in ms","Description"
"passed","mainPageTests.addLinkSber","2","ОПИСАНИЕ Алюр - описание в сьюте"
"passed","mainPageTests.addLinkSber1","28",""
"passed","mainPageTests.SearchEmpty","10223",""
